EN,EM,Description,Composition strategy,Attribute,generated_sentence
hot argument,🔥🤬,"[':fire:', ':face_with_symbols_on_mouth:']",Direct,EMOTIONALITY,"The heated argument escalated quickly, leaving everyone frustrated and angry."
hot argument,💢🗣️,"[':anger_symbol:', ':speaking_head:']",Direct,EMOTIONALITY,The heated argument escalated as voices were raised and tempers flared.
hot argument,🤬💬,"[':face_with_symbols_on_mouth:', ':speech_balloon:']",Direct,EMOTIONALITY,The heated argument led to a lot of foul language being exchanged.
hot forehead,"☀️, 🤒🌡️😷😴🥶","[':sun:', ',', ':face_with_thermometer:', ':thermometer:', ':face_with_medical_mask:', ':sleeping_face:', ':cold_face:']",Metaphorical,TEMPERATURE,"The sun is shining brightly, but I have a fever, feeling sick, and just want to sleep because I'm so cold."
hot forehead,🥴🤒👨‍⚕️,"[':woozy_face:', ':face_with_thermometer:', ':man_health_worker:']",Metaphorical,TEMPERATURE,"""I have a hot forehead and I'm feeling unwell, so I need to see a doctor."""
hot forehead,🔥🤒🌡,"[':fire:', ':face_with_thermometer:', ':thermometer:']",Metaphorical,TEMPERATURE,I have a fever and my forehead feels really hot.
hot forehead,🥵🤒🤒,"[':hot_face:', ':face_with_thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE,I have a hot forehead and I'm feeling feverish.
hot forehead,🌡️🤒,"[':thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE,"The thermometer shows a high temperature, indicating a fever and a hot forehead."
hot forehead,♨️🤯,"[':hot_springs:', ':exploding_head:']",Metaphorical,TEMPERATURE,"""My forehead feels hot and overwhelmed."""
hot forehead,🩺🤒,"[':stethoscope:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE,"Feeling unwell with a hot forehead, it seems like I might need a check-up."
hot forehead,🤒🤕,"[':face_with_thermometer:', ':face_with_head-bandage:']",Metaphorical,TEMPERATURE,I have a hot forehead and I'm feeling unwell.
bright future,🎇🔮,"[':sparkler:', ':crystal_ball:']",Direct,AUSPICIOUSNESS,"""With a spark of inspiration and a glimpse into possibilities, the future shines bright."""
bright future,🔆🔮,"[':bright_button:', ':crystal_ball:']",Direct,AUSPICIOUSNESS,"A bright future shines like a radiant light, filled with endless possibilities and magical opportunities."
bright future,🌟🎓,"[':glowing_star:', ':graduation_cap:']",Metaphorical,AUSPICIOUSNESS,"""With determination and education, you can achieve a bright future."""
bright future,😎👨‍🔬👩‍⚕️🧑‍💻,"[':smiling_face_with_sunglasses:', ':man_scientist:', ':woman_health_worker:', ':technologist:']",Semantic list,AUSPICIOUSNESS,"""With our cool scientists, doctors, and tech experts, we are shaping a bright future!"""
bright future,☀️🔮,"[':sun:', ':crystal_ball:']",Direct,AUSPICIOUSNESS,"The sun shines brightly on a crystal ball, symbolizing a promising and hopeful future ahead."
bright future,👨‍🔬👩‍🎓👨‍⚕️,"[':man_scientist:', ':woman_student:', ':man_health_worker:']",Semantic list,AUSPICIOUSNESS,"""With dedicated scientists, educated students, and skilled healthcare professionals, we are building a bright future for all."""
bright future,☀️🌫,"[':sun:', ':fog:']",Direct,AUSPICIOUSNESS,"""Even though there might be some fog, the sun is shining, promising a bright future ahead."""
bright future,⏳⏩👍👍,"[':hourglass_not_done:', ':fast-forward_button:', ':thumbs_up:', ':thumbs_up:']",Metaphorical,AUSPICIOUSNESS,"""Time is moving forward quickly, and we're on track for a bright future!"""
bright sun,🎇☀️,"[':sparkler:', ':sun:']",Direct,LUMINOSITY,"The bright sun shines brightly in the sky, illuminating everything around it."
bright sun,🔆☀️,"[':bright_button:', ':sun:']",Direct,LUMINOSITY,The bright sun shines brilliantly in the sky.
bright sun,🌟🌤🌇🌅,"[':glowing_star:', ':sun_behind_small_cloud:', ':sunset:', ':sunrise:']",Semantic list,LUMINOSITY,"The bright sun shines brilliantly over the horizon, illuminating the sky with its warm glow at sunrise and sunset."
bright sun,☀️🔆,"[':sun:', ':bright_button:']",Direct,LUMINOSITY,The bright sun shines brightly in the sky.
bright sun,✨☀️,"[':sparkles:', ':sun:']",Direct,LUMINOSITY,The bright sun shines with a dazzling sparkle.
bright sun,☀️🌟,"[':sun:', ':glowing_star:']",Direct,LUMINOSITY,"The bright sun shines brilliantly in the sky, illuminating everything around it."
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY,The bright sun is shining brilliantly in the sky.
bright sun,☀️☀️,"[':sun:', ':sun:']",Reduplication,LUMINOSITY,The bright sun shines brightly in the sky.
bright dress,🎇👗,"[':sparkler:', ':dress:']",Direct,COLOR,The bright dress sparkles like a firework.
bright dress,🔆👗,"[':bright_button:', ':dress:']",Direct,COLOR,The bright dress sparkles under the sunlight.
bright dress,✨👗,"[':sparkles:', ':dress:']",Direct,COLOR,The dress sparkles beautifully.
bright dress,🔆👗💃,"[':bright_button:', ':dress:', ':woman_dancing:']",Direct,COLOR,She wore a bright dress that made her shine on the dance floor.
bright dress,☀️🎨👗,"[':sun:', ':artist_palette:', ':dress:']",Direct,COLOR,A bright dress is perfect for a sunny day.
bright dress,👗✨,"[':dress:', ':sparkles:']",Direct,COLOR,The elegant dress sparkles with a radiant shine.
bright dress,☀️👗,"[':sun:', ':dress:']",Direct,COLOR,The sun shines brightly on the beautiful dress.
bright dress,👗✨,"[':dress:', ':sparkles:']",Direct,COLOR,The bright dress sparkles with elegance and charm.
bright room,🎇🏫,"[':sparkler:', ':school:']",Direct,LIGHT,"The school classroom is filled with bright, colorful lights."
bright room,🔆🚹🚺,"[':bright_button:', ':men’s_room:', ':women’s_room:']",Direct,LIGHT,"In a bright room, a man and a woman are enjoying their time together."
bright room,✨🏠,"[':sparkles:', ':house:']",Direct,LIGHT,The bright room is filled with sparkling light.
bright room,💡🕯️🏠,"[':light_bulb:', ':candle:', ':house:']",Direct,LIGHT,The room is well-lit with bright lights and candles.
bright room,☀️🏫,"[':sun:', ':school:']",Direct,LIGHT,"The bright sunlight fills the classroom, creating a warm and inviting atmosphere for learning."
bright room,💡💒,"[':light_bulb:', ':wedding:']",Direct,LIGHT,"The bright room is filled with light and warmth, creating a welcoming atmosphere."
bright room,☀️,[':sun:'],Single,LIGHT,"The sunlight streams into the bright room, filling it with warmth and energy."
bright room,☀️🏫,"[':sun:', ':school:']",Direct,LIGHT,The sun is shining brightly in the classroom.
dark shadow,🕶️🕴️,"[':sunglasses:', ':person_in_suit_levitating:']",Metaphorical,LIGHT,A figure in sunglasses stands confidently in the shadows.
dark shadow,⚫👥,"[':black_circle:', ':busts_in_silhouette:']",Metaphorical,LIGHT,"In the shadows, a dark figure lurks, hidden from sight."
dark shadow,🕶🕶👤,"[':sunglasses:', ':sunglasses:', ':bust_in_silhouette:']",Metaphorical,LIGHT,"A mysterious figure lurks in the dark, wearing sunglasses that conceal their identity."
dark shadow,❌💡🧍,"[':cross_mark:', ':light_bulb:', ':person_standing:']",Metaphorical,LIGHT,The bright idea was overshadowed by a dark presence.
dark shadow,🌑👤,"[':new_moon:', ':bust_in_silhouette:']",Metaphorical,LIGHT,"In the darkness, a shadowy figure looms silently."
dark shadow,🌑,[':new_moon:'],Single,LIGHT,"The new moon casts a dark shadow over the landscape, enveloping everything in silence and mystery."
dark shadow,🌚,[':new_moon_face:'],Single,LIGHT,The dark shadow loomed ominously under the moonlit sky.
dark shadow,🌑🚹,"[':new_moon:', ':men’s_room:']",Metaphorical,LIGHT,"A man stands alone in the darkness, enveloped by the shadowy night."
dark day,🕶️🌅,"[':sunglasses:', ':sunrise:']",Direct,LIGHT,"""Even on a dark day, there's always a glimmer of hope as the sun sets."""
dark day,⚫📆,"[':black_circle:', ':tear-off_calendar:']",Direct,LIGHT,It was a dark day that felt heavy on my heart.
dark day,🌪🌫🌫,"[':tornado:', ':fog:', ':fog:']",Metaphorical,LIGHT,The dark day was overshadowed by swirling tornadoes and thick fog.
dark day,⛈️🌫️🌑,"[':cloud_with_lightning_and_rain:', ':fog:', ':new_moon:']",Metaphorical,LIGHT,"The sky is overcast and gloomy, making it feel like a dark day filled with rain and fog."
dark day,🌑📆,"[':new_moon:', ':tear-off_calendar:']",Direct,LIGHT,"""Today feels like a dark day with no light to brighten it."""
dark day,😈👣,"[':smiling_face_with_horns:', ':footprints:']",Metaphorical,LIGHT,"""On this dark day, I feel mischievous and ready to leave my mark."""
dark day,🌑,[':new_moon:'],Single,LIGHT,"""Today feels like a dark day with the absence of light."""
dark day,🌑🌃,"[':new_moon:', ':night_with_stars:']",Direct,LIGHT,"The night was pitch black, creating a sense of a dark day."
dark glass,🕶️🥛,"[':sunglasses:', ':glass_of_milk:']",Direct,COLOR,"""Enjoying a refreshing drink while wearing my dark sunglasses."""
dark glass,⚫🥛,"[':black_circle:', ':glass_of_milk:']",Direct,COLOR,The dark glass is filled with black liquid.
dark glass,🕶🕶,"[':sunglasses:', ':sunglasses:']",Reduplication,COLOR,The dark glasses are stylish and perfect for sunny days.
dark glass,🕶️,[':sunglasses:'],Single,COLOR,"""These dark glasses are perfect for protecting your eyes from bright sunlight."""
dark glass,🌑🍷,"[':new_moon:', ':wine_glass:']",Direct,COLOR,"""Enjoying a glass of dark wine under the new moon."""
