text,emoji
A woman and a man are conducting a tech workshop in a full auditorium.,👩‍💻👨‍💻🏫
"The woman is intensely focused, her mind blown by what she has discovered.",👩🧐🤯
"""With full attention, the nerdy student focuses intently on his studies, eager to learn from his teacher and excel in his academic journey.""",🤓👨‍💻👨‍🏫👨‍🎓
The pilot is giving his full attention to the flight and the passengers.,👨‍✈️
"The attentive student raises his hand in class, eager to participate and listen closely.",🙋‍♂️🦻🏫
"""With love and family, hard work leads to financial success and a fulfilling life.""",♥️👨‍👩‍👧‍👦💼💰💰💰💯
The little boy is playing happily in the park.,👦
A little boy is standing.,👦🧍
A little boy is using his fingers to show how small something is.,🤏👶👦
The little boy is playing in the park.,👦
The little boy is pointing down.,👇🏻👦
A little boy is pointing at a baby.,👦👈👶
The little boy is playing happily in the park.,👦🏻
The little boy is using his fingers to show something small.,🤏👦
A young boy is becoming a little man.,👦🧑‍🦰
The little man is strong!,💪👦
A little man is making a tiny gesture.,🤏🏻👨🏻
The little man is holding up his finger to indicate something small.,🤏👱‍♂️
Families gather together to enjoy a delicious meal with plenty of food for everyone.,👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧🍽️💯
"Families are thriving and growing together, leading to an ample supply of love and support.",👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧📈
"""I'm really confused about this situation; can someone explain what's going on?""",⁉️⁉️❓❔🤷‍♀️🤷🤷‍♂️
"""I have no idea what you're talking about!""",🤷‍♀️🗣️
"""No more available, we are out of stock!""",🙅‍♀️🙅‍♀️🙅‍♀️
"She performed a low bow, tilting her head respectfully.",↘️🙇‍♀️
The three individuals are deeply bowing in respect.,🙇‍♀️🙇🙇‍♂️
The group of people is giving a low bow in respect.,↘️🙇🙇‍♀️🙇‍♂️
He gave a low bow in respect.,⬇️🙇‍♂️
She performed a low bow in respect and humility.,🙇‍♀️
The man and woman are both giving a respectful low bow.,🙇‍♀️🙇‍♂️
"The person is suffering from a critical illness and needs medical attention, medication, and is taking precautions against infection.",🤕🧑‍⚕️💊😷🦠🪦
A doctor is treating a patient who is experiencing severe nausea due to a critical illness.,🤮👨‍⚕️
"The judges weighed the evidence carefully, reaching a critical mass of consensus in their decision.",⚖️👩‍⚖️👨‍⚖️
The scientist has identified a critical element!,👩‍🔬❗
"""People are dancing and celebrating together, showing the immediate influence of joy and excitement in the atmosphere.""",💃🕺🙋🙋‍♀️🙋‍♂️
"""Judges have the power to make immediate decisions that influence the outcome of cases.""",⏩👩‍⚖️👨‍⚖️
"""An immediate influence on a family is the guidance and support they provide to each other.""",🔜👨‍👩‍👧‍👦
"""People can have a direct and immediate impact on each other's lives!""",🧑‍🤝‍🧑↔️❗
The chef carefully drizzles a thin layer of oil.,🤏 👨‍🍳🛢
"""She rejected the document because it was the wrong paper.""",🙅‍♀️📃
"""That's the wrong paper!""",🙅‍♂️📄
"""She is refusing to take the wrong road.""",🙅‍♀️🛣
"""Don't take the wrong road.""",🙅‍♂️🛣️
"""Cheating is not acceptable for a professional.""",❌👩‍💻
"""She is rejecting the idea of love after finding out about the betrayal.""",🙅‍♀️💔
"""She rejected him after discovering his infidelity.""",🙅👩‍❤️‍💋‍👨💔
"""Don't cheat on your exams by writing down answers secretly!""",🙅‍♂️😈🤫✍️📄📚💯
"""Please do not enter; you are heading the wrong way!""",🙅‍♀️🚸
"""Don't go that way; you're headed in the wrong direction!""",🙅‍♂️🗺️🧭
"""You're going the wrong way!""",❌🗺️🙅‍♀️
"""She refused to take the wrong medicine.""",🙅‍♀️💊
"""That is not the right medicine!""",🙅‍♂️💊
"""Please do not believe this wrong information.""",🙅‍♀️ℹ
"""Please disregard the incorrect information in the document.""",🙅‍♂️📑🗂️
"""She paused in thought, realizing her initial assumption was completely wrong.""",🙅‍♀️🤔
"""That's not what I was thinking; I made a wrong assumption.""",🙅‍♂️🤔
"""She is saying no because it's the wrong time.""",🙅‍♀️🕰
"""That's not the right time for this.""",🙅‍♂️⏱️
The warmth of friendship and support brings people together.,♨️🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑
"""She passionately loves making zombie movies.""",🎥💁‍♀️❤️🧟‍♂️
"""With a warm personality, they greet each other with a friendly fist bump.""",👊🧑‍🤝‍🧑
"""Her warm personality makes everyone feel comfortable and welcomed.""",🌡️💁‍♀️
"""She is examining her clear complexion closely.""",🔎👩🏻
A woman radiates confidence with her clear complexion.,👩✨
"""With her clear complexion, she confidently shares beauty tips.""",💁‍♀️
"""Men who drink plenty of water and eat healthy salads often achieve a clear complexion.""",👨🚰🥗🪞✨
The teacher provided a clear and thorough explanation that everyone understood perfectly.,👩‍🏫💯🗣️
"The teacher provided a clear explanation that helped everyone understand the concept, leading to a lightbulb moment and smiles all around.",🤔❔👨‍🏫🗣️💡✅😀
It seems like we're unsure about what to do next.,🤨🧐🤷‍♀️🤷‍♂️
The teacher is asking unclear questions about the assignment.,👨‍🏫🗣️📝❓❓❓
The elderly man speaks with a deep voice.,🗣️👨‍🦳
"With deep concentration, the focused woman is analyzing data and taking notes.",🧐👩‍💻✏️
The man with a receding hairline has a prominent forehead.,👨‍🦲🤏
"""She has a high forehead.""",🔝👩‍🦲
The elderly man has a prominent high forehead.,⬆️👴
A bald man is not a boy.,👨‍🦲❌👦👨
The woman with a high forehead proudly embraces her unique look.,⬆️👩‍🦲
"""Look at the man with a prominent high forehead!""",☝️👨‍🦲
The man with a bald head is pointing to his high forehead.,👨‍🦲👆
The healthcare worker is impressed with the student's performance.,👩‍⚕️👨‍🎓👍
The doctors are highly regarded for their expertise and professionalism.,🔝👨‍⚕️👩‍⚕️
"""Being in a cool relationship with my friends makes life enjoyable.""",🆒🧑‍🤝‍🧑
The woman at the computer received a cool response.,💨👩🖥
"The teacher's training was inadequate, leading to a lack of effective instruction.",❌🧑‍🏫
"""Warning: We are facing an issue with inadequate teaching staff.""",⚠️🧑‍🏫👩‍🏫👨‍🏫
The team is lacking sufficient staff.,❌🧑‍💼👨‍💼
"""The employee is unsure about how to address the issue of inadequate staff.""",🤷🧑‍💼0️⃣
The team is too small to handle the workload effectively.,🤏👬🧑‍🤝‍🧑
The team is facing challenges due to inadequate staff.,🔻👩‍💼👨‍💼
"""Living an idyllic life means confidently enjoying shopping sprees and treating yourself to luxury.""",💁💁‍♀️👜💸
"""Celebrating a perfect life surrounded by family and love!""",🎉🙌💯👨‍👩‍👧‍👦
"After a long day, the woman finally drifts off to sleep, embracing her idyllic life of peace and relaxation.",👩🥱😴
"""Everyone is giving a thumbs up and feeling great about this perfect, idyllic spot!""",👍🙆🙆‍♀️💯
A woman enjoys a refreshing drink under a palm tree in a perfect paradise.,👩🌴🧉
A young girl feels anxious and worried about something happening at home.,👧😟😰
"""She feels anxious about the problems at home.""",🏠🙍‍♀️
"""Home is where love and family thrive.""",🏡🥰👪👩‍👩‍👦👨‍👨‍👦👨‍👧👩‍👦
A girl is joyfully laughing and having a great time at home.,👧😁😂
"The ineffective rulers, represented by the three computer users giving a thumbs down, failed to lead effectively.",🧑‍💻👩‍💻👨‍💻👎👎
"The therapy sessions were unhelpful, as I felt unheard and dismissed.",🧑👂❌❌
The therapy was ineffective for the man.,❌💆‍♂️👨‍⚕️
"The therapist's approach didn't help at all, leaving the patient feeling frustrated and disappointed.",👨‍⚕️🗣️🧠👎☹️
"The medication is not helping, and I am rejecting its use.",💊🙅‍♀️
A student raises their hand to ask an insightful question.,🙋🧠💭🧑‍🎓
The graduate is pondering an intelligent question.,👨‍🎓❓️
"""A student poses an intelligent question.""",🧑‍🎓🧠❓
"""An intelligent life appreciates the guidance of a knowledgeable teacher.""",👍👨‍🏫
"""An intelligent life is characterized by the pursuit of knowledge and education.""",🧑‍🎓🤓
A scientist is studying microorganisms and brain cells to understand intelligent life.,👨‍🔬🔬🧫🦠🧠🧠
"""Intelligent life often questions everything, wondering about the mysteries of the universe.""",🤔🤷‍♀️
A woman loves her man endlessly.,🙍‍♀️❤️🙍‍♂️♾️
"""Always cherishing love in every form.""",🔂💑👩‍❤️‍👨👩‍❤️‍👩
"""Forever devoted to each other, the elderly couple shares an unbreakable bond of love.""",❤️🧓👵
"""Two lovers continuously cherish and support each other in their relationship.""",💘👩‍❤️‍👨🔃
"Two men in love cherish their time together, growing old as constant lovers.",👬👨‍❤️‍💋‍👨⏳⌛💞👨‍🦳👨‍🦳
"""Feeling constant pain and needing to see a doctor for help.""",🤕🧑‍⚕️
"""Enduring constant pain feels like being struck by a hammer while grappling with the weight of time.""",🦴🔨🧑‍🦽⏳😭
The doctor examines the brain as an important internal organ.,🧠👨‍⚕️🩺
"The businessman points to the brain, heart, and lungs as important internal organs.",👨‍💼👈🧠🫀🫁
The man is reflecting on his thoughts.,👨👈💭
"""Using a mobile device as a controller, the programmer explores the internal mechanisms of software development.""",📲🕹️👩‍💻
The mechanic is skillfully repairing the internal mechanism of the prosthetic leg.,🦿👩‍🔧
A man is giving a dry critique of the situation.,🙎‍♂️🗣️💬
"The teacher offered a dry critique of the student's presentation, highlighting its lack of originality and depth.",♨️🧑‍🏫
"""In the dry desert, a woman waves hello.""",🏜️🙋‍♀️
"""An effective entrance is marked by a confident person giving a thumbs up as they walk through the door.""",👍🚪🧑
A French woman with curly hair is speaking Japanese with a charming foreign accent.,🇫🇷🇯🇵👩‍🦱
"""Speaking with a foreign accent, I'm often met with confusion.""",🗣️🤷‍♀️
"""Thinking about trying my hand at making some exotic tacos.""",🤔🧑‍🍳🌮
"""In a delicate negotiation, each participant listens attentively, expresses their thoughts, and engages in a respectful dialogue.""",🙋🧏‍♂️🙎‍♂️🙋‍♂️🧏🙎
A baker is racing against time to prepare fresh bread.,👨‍🍳⌛🍞
The baker is preparing fresh bread.,🧑‍🍳🍞
The boy takes a refreshing shower with fragrant soap.,👦🚿🧼🌺
The farmer is harvesting fresh lettuce.,👩‍🌾🥬
The farmer is harvesting fresh lettuce.,👨‍🌾🥬
A farmer is harvesting fresh lettuce.,🧑‍🌾 🥬🥬
The teacher is providing a clear and detailed explanation.,🧑‍🏫🗣️
"A boy is using a magnifying glass to investigate and take notes, demonstrating a sound approach to learning.",👦🔍📝
"A boy is giving thoughtful advice to a girl, and she appreciates it.",👦🗣️👩🤔👍
