text,emoji
A large group of friends is hanging out together.,"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']"
A large group of people gathered together.,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']"
A big group of friends and families enjoying time together.,"[':woman_and_man_holding_hands:', ':women_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']"
A large group of people gathered together.,"[':busts_in_silhouette:', ':busts_in_silhouette:']"
A large family gathering includes multiple parents and their children.,"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']"
The big group of friends is enjoying their time together.,"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']"
The big man was surprised to see something amazing above him.,"[':man_beard:', ':astonished_face:', ':up_arrow:']"
The big man in red is coming to town!,[':Santa_Claus:']
The tall man with curly hair walked confidently into the room.,[':person_curly_hair:']
"The big man stands confidently, showcasing his strength.","[':man_standing:', ':flexed_biceps:']"
"The strong man stands confidently, showcasing his power and presence.","[':flexed_biceps:', ':man_beard:']"
"""The tall man stands confidently, showcasing his impressive height.""","[':man_blond_hair:', ':left-right_arrow:', ':up-down_arrow:']"
"""Two superheroes, a strong man and a powerful woman, stand ready to save the day.""","[':superhero:', ':man_superhero:']"
The strong man stands tall and proud.,"[':flexed_biceps:', ':man_standing:']"
The vibrant sunset over the bustling big city is truly breathtaking!,"[':sunset:', ':red_exclamation_mark:']"
"The vibrant skyline of a big city comes alive at sunset, showcasing iconic landmarks and bustling urban life.","[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']"
The bustling streets of Moscow are filled with vibrant culture and history.,[':Russia:']
The bustling big city is filled with towering skyscrapers and vibrant street life.,[':cityscape:']
The vibrant lights and bustling atmosphere of the big city left me completely amazed.,"[':cityscape_at_dusk:', ':exploding_head:']"
The big city is filled with towering skyscrapers and bustling streets in every direction.,"[':cityscape:', ':up-down_arrow:', ':left-right_arrow:']"
"The city skyline sparkled brightly under the night sky, showcasing the vibrant energy of urban life.","[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']"
The skyline of the big city is breathtaking at sunset.,"[':sunset:', ':cityscape:']"
The generous man always leaves a big tip.,"[':man_beard:', ':money_bag:']"
"""Generous with my tips, especially when enjoying pancakes!""","[':pancakes:', ':money_with_wings:']"
A generous customer generously tips after getting a haircut.,"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']"
"""Generously rewarding exceptional service with a big tip!""","[':coin:', ':coin:']"
"""An excited man with money is known for being a big tipper.""","[':money-mouth_face:', ':man_red_hair:', ':money_bag:']"
"""He's known for being a big tipper, always leaving generous amounts of cash.""","[':dollar_banknote:', ':dollar_banknote:']"
The generous customer left a huge tip!,"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']"
"""That person is a generous big tipper!""","[':thumbs_up:', ':money_with_wings:']"
"""Get ready for the big day!""","[':red_exclamation_mark:', ':tear-off_calendar:']"
The bride and groom are celebrating their big day at the wedding venue.,"[':person_with_veil:', ':wedding:', ':man_in_tuxedo:']"
A couple is getting married on their big day.,"[':couple_with_heart_woman_man:', ':person_with_veil:']"
Feeling anxious about the big day ahead in the scorching sun.,"[':anxious_face_with_sweat:', ':sun:']"
"The big day has arrived, celebrating love and unity with beautiful couples.","[':man_with_veil:', ':woman_with_veil:', ':man_in_tuxedo:', ':woman_in_tuxedo:']"
"""Today is a big day, shining bright like a gold medal!""","[':1st_place_medal:', ':sun:']"
"""Today is such a big day that it's leaving me feeling overwhelmed!""","[':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:']"
"""Mark your calendars for the big day!""",[':spiral_calendar:']
The hot doll is feeling the heat.,"[':hot_face:', ':girl:']"
The hot doll is on fire!,"[':nesting_dolls:', ':fire:', ':fire:']"
The glamorous blonde doll is ready to show off her perfect manicure.,"[':nail_polish:', ':woman_blond_hair:']"
The hot doll is on fire!,"[':fire:', ':nesting_dolls:']"
The hot doll collection features a unique set of nesting dolls that are both vibrant and stylish.,"[':keycap_1:', ':nesting_dolls:', ':Japanese_dolls:']"
The hot doll is all the rage right now!,"[':fire:', ':teddy_bear:']"
The hot doll is steaming with excitement!,"[':hot_springs:', ':nesting_dolls:']"
The stuffed bear is feeling really hot.,"[':hot_face:', ':teddy_bear:']"
The hot water is steaming and ready for use.,"[':hot_springs:', ':sweat_droplets:']"
"""It's so hot that I need to drink some water!""","[':hot_face:', ':potable_water:']"
The hot water is steaming as it bubbles in the pot.,"[':hot_springs:', ':droplet:']"
The hot water is steaming and bubbling.,"[':fire:', ':sweat_droplets:']"
"""Boiling water for a refreshing drink.""","[':hot_springs:', ':droplet:', ':potable_water:']"
"""Boil some water for a warm drink.""","[':hot_springs:', ':potable_water:']"
The hot water is bubbling and steaming.,"[':hot_springs:', ':droplet:']"
"""Be careful, the hot water can cause burns!""","[':name_badge:', ':sweat_droplets:']"
The hot stove is sizzling as the pan heats up for cooking.,"[':thermometer:', ':hot_springs:', ':cooking:']"
The hot stove is ready for cooking eggs.,"[':hot_springs:', ':cooking:']"
The hot stove is ready to cook with flames dancing on the burners.,"[':hot_springs:', ':control_knobs:', ':fire:']"
"""There's a sizzling hot pan on the stove.""","[':fire:', ':cooking:']"
"""Be careful, the stove is really hot!""","[':hot_face:', ':cooking:', ':fire:']"
The hot stove is ready for cooking with its flames blazing.,"[':hot_springs:', ':fire:']"
The hot stove is radiating intense heat.,"[':fire:', ':hot_springs:']"
"""Be careful, the hot stove is on!""","[':name_badge:', ':thermometer:', ':fondue:']"
"The discussion about the hot topic is heating up, with loud opinions being expressed, leaving everyone pondering whether they agree or disagree.","[':fire:', ':speaker_high_volume:', ':speaking_head:', ':speaking_head:', ':thinking_face:', ':thinking_face:', ':thumbs_up:', ':thumbs_down:']"
"""Everyone is buzzing about this hot topic!""","[':star-struck:', ':speech_balloon:']"
"""Let's discuss the hot topic under the sun.""","[':sun:', ':studio_microphone:', ':speaking_head:']"
"""There's a hot topic in the news right now!""","[':fire:', ':fire:', ':fire:', ':fire:', ':newspaper:']"
"""Everyone is talking about this hot topic!""","[':fire:', ':speech_balloon:']"
"""The discussion around this issue is heating up as it's become a hot topic.""","[':fire:', ':speaking_head:']"
The discussion about this issue is really heating up.,"[':fire:', ':speaking_head:']"
The discussion about climate change is a hot topic right now.,"[':hot_face:', ':speech_balloon:']"
"""Check out this hot merchandise that's catching everyone's attention and is in high demand!""","[':fire:', ':eyes:', ':raised_hand:', ':raised_back_of_hand:', ':folded_hands:', ':pleading_face:', ':money_bag:']"
"""Check out our hot merchandise featuring stylish t-shirts, trendy shoes, and cool sunglasses!""","[':fire:', ':fire:', ':t-shirt:', ':flat_shoe:', ':sunglasses:']"
"""Check out our hot new merchandise!""","[':fire:', ':wrapped_gift:', ':wrapped_gift:']"
"""Check out our hot merchandise that everyone is talking about!""","[':fire:', ':label:']"
"""Check out the hottest merchandise, including trendy clothes, adorable teddy bears, and stylish accessories!""","[':fire:', ':shopping_bags:', ':teddy_bear:', ':t-shirt:', ':dress:', ':pencil:', ':notebook_with_decorative_cover:']"
"""Check out the hottest new smartphone on the market!""","[':fire:', ':mobile_phone:']"
"""Check out our hot merchandise featuring trendy t-shirts!""","[':left_speech_bubble:', ':t-shirt:']"
"""Check out our hot merchandise featuring trendy t-shirts with cute teddy bear designs!""","[':thumbs_up:', ':teddy_bear:', ':t-shirt:']"
"The intense heat of my anger is rising, leaving me feeling both indifferent and furious.","[':fire:', ',', ':neutral_face:', ':pouting_face:']"
"Feeling frustrated and angry, I just can't take it anymore!","[':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:', ':man_gesturing_NO:', ':man_gesturing_NO:']"
"""His hot temper flared up as he faced yet another frustrating situation.""","[':pouting_face:', ':pouting_face:']"
She was so frustrated and angry that her hot temper was about to explode.,"[':pouting_face:', ':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:']"
The person is feeling very angry and frustrated.,"[':pouting_face:', ':face_with_steam_from_nose:']"
She has a hot temper and can get fired up easily.,"[':fire:', ':pouting_face:']"
"""Feeling extremely frustrated and angry.""","[':anger_symbol:', ':face_with_symbols_on_mouth:']"
"When someone has a hot temper, they can easily become furious and express their anger loudly.","[':pouting_face:', ':face_with_symbols_on_mouth:']"
"""There's a heated debate going on, with people passionately expressing their differing opinions.""","[':fire:', ':speaking_head:', ':multiply:', ':speaking_head:', ':check_mark:', ':loudspeaker:']"
"""Both sides are firmly rejecting each other's points in a heated argument.""","[':person_gesturing_NO:', ':man_gesturing_NO:', ':face_with_steam_from_nose:', ':right_anger_bubble:']"
The heated argument escalated as both sides expressed their anger and frustration loudly.,"[':pouting_face:', ':face_with_symbols_on_mouth:', ':speaking_head:']"
The heated argument escalated as voices were raised and strong words were exchanged.,"[':face_with_symbols_on_mouth:', ':speaking_head:', ':megaphone:']"
"The heated argument escalated as they exchanged furious words, both clearly infuriated.","[':face_with_symbols_on_mouth:', ':speech_balloon:', ':pouting_face:']"
"The heated argument escalated quickly, leaving everyone frustrated and angry.","[':fire:', ':face_with_symbols_on_mouth:']"
The heated argument escalated as voices were raised and tempers flared.,"[':anger_symbol:', ':speaking_head:']"
The heated argument led to a lot of foul language being exchanged.,"[':face_with_symbols_on_mouth:', ':speech_balloon:']"
"The sun is shining brightly, but I have a fever, feeling sick, and just want to sleep because I'm so cold.","[':sun:', ',', ':face_with_thermometer:', ':thermometer:', ':face_with_medical_mask:', ':sleeping_face:', ':cold_face:']"
"""I have a hot forehead and I'm feeling unwell, so I need to see a doctor.""","[':woozy_face:', ':face_with_thermometer:', ':man_health_worker:']"
I have a fever and my forehead feels really hot.,"[':fire:', ':face_with_thermometer:', ':thermometer:']"
I have a hot forehead and I'm feeling feverish.,"[':hot_face:', ':face_with_thermometer:', ':face_with_thermometer:']"
"The thermometer shows a high temperature, indicating a fever and a hot forehead.","[':thermometer:', ':face_with_thermometer:']"
"""My forehead feels hot and overwhelmed.""","[':hot_springs:', ':exploding_head:']"
"Feeling unwell with a hot forehead, it seems like I might need a check-up.","[':stethoscope:', ':face_with_thermometer:']"
I have a hot forehead and I'm feeling unwell.,"[':face_with_thermometer:', ':face_with_head-bandage:']"
"""With a spark of inspiration and a glimpse into possibilities, the future shines bright.""","[':sparkler:', ':crystal_ball:']"
"A bright future shines like a radiant light, filled with endless possibilities and magical opportunities.","[':bright_button:', ':crystal_ball:']"
"""With determination and education, you can achieve a bright future.""","[':glowing_star:', ':graduation_cap:']"
"""With our cool scientists, doctors, and tech experts, we are shaping a bright future!""","[':smiling_face_with_sunglasses:', ':man_scientist:', ':woman_health_worker:', ':technologist:']"
"The sun shines brightly on a crystal ball, symbolizing a promising and hopeful future ahead.","[':sun:', ':crystal_ball:']"
"""With dedicated scientists, educated students, and skilled healthcare professionals, we are building a bright future for all.""","[':man_scientist:', ':woman_student:', ':man_health_worker:']"
"""Even though there might be some fog, the sun is shining, promising a bright future ahead.""","[':sun:', ':fog:']"
"""Time is moving forward quickly, and we're on track for a bright future!""","[':hourglass_not_done:', ':fast-forward_button:', ':thumbs_up:', ':thumbs_up:']"
"The bright sun shines brightly in the sky, illuminating everything around it.","[':sparkler:', ':sun:']"
The bright sun shines brilliantly in the sky.,"[':bright_button:', ':sun:']"
"The bright sun shines brilliantly over the horizon, illuminating the sky with its warm glow at sunrise and sunset.","[':glowing_star:', ':sun_behind_small_cloud:', ':sunset:', ':sunrise:']"
The bright sun shines brightly in the sky.,"[':sun:', ':bright_button:']"
The bright sun shines with a dazzling sparkle.,"[':sparkles:', ':sun:']"
"The bright sun shines brilliantly in the sky, illuminating everything around it.","[':sun:', ':glowing_star:']"
The bright sun is shining brilliantly in the sky.,"[':sun:', ':sun:']"
The bright sun shines brightly in the sky.,"[':sun:', ':sun:']"
The bright dress sparkles like a firework.,"[':sparkler:', ':dress:']"
The bright dress sparkles under the sunlight.,"[':bright_button:', ':dress:']"
The dress sparkles beautifully.,"[':sparkles:', ':dress:']"
She wore a bright dress that made her shine on the dance floor.,"[':bright_button:', ':dress:', ':woman_dancing:']"
A bright dress is perfect for a sunny day.,"[':sun:', ':artist_palette:', ':dress:']"
The elegant dress sparkles with a radiant shine.,"[':dress:', ':sparkles:']"
The sun shines brightly on the beautiful dress.,"[':sun:', ':dress:']"
The bright dress sparkles with elegance and charm.,"[':dress:', ':sparkles:']"
"The school classroom is filled with bright, colorful lights.","[':sparkler:', ':school:']"
"In a bright room, a man and a woman are enjoying their time together.","[':bright_button:', ':men’s_room:', ':women’s_room:']"
The bright room is filled with sparkling light.,"[':sparkles:', ':house:']"
The room is well-lit with bright lights and candles.,"[':light_bulb:', ':candle:', ':house:']"
"The bright sunlight fills the classroom, creating a warm and inviting atmosphere for learning.","[':sun:', ':school:']"
"The bright room is filled with light and warmth, creating a welcoming atmosphere.","[':light_bulb:', ':wedding:']"
"The sunlight streams into the bright room, filling it with warmth and energy.",[':sun:']
The sun is shining brightly in the classroom.,"[':sun:', ':school:']"
A figure in sunglasses stands confidently in the shadows.,"[':sunglasses:', ':person_in_suit_levitating:']"
"In the shadows, a dark figure lurks, hidden from sight.","[':black_circle:', ':busts_in_silhouette:']"
"A mysterious figure lurks in the dark, wearing sunglasses that conceal their identity.","[':sunglasses:', ':sunglasses:', ':bust_in_silhouette:']"
The bright idea was overshadowed by a dark presence.,"[':cross_mark:', ':light_bulb:', ':person_standing:']"
"In the darkness, a shadowy figure looms silently.","[':new_moon:', ':bust_in_silhouette:']"
"The new moon casts a dark shadow over the landscape, enveloping everything in silence and mystery.",[':new_moon:']
The dark shadow loomed ominously under the moonlit sky.,[':new_moon_face:']
"A man stands alone in the darkness, enveloped by the shadowy night.","[':new_moon:', ':men’s_room:']"
"""Even on a dark day, there's always a glimmer of hope as the sun sets.""","[':sunglasses:', ':sunrise:']"
It was a dark day that felt heavy on my heart.,"[':black_circle:', ':tear-off_calendar:']"
The dark day was overshadowed by swirling tornadoes and thick fog.,"[':tornado:', ':fog:', ':fog:']"
"The sky is overcast and gloomy, making it feel like a dark day filled with rain and fog.","[':cloud_with_lightning_and_rain:', ':fog:', ':new_moon:']"
"""Today feels like a dark day with no light to brighten it.""","[':new_moon:', ':tear-off_calendar:']"
"""On this dark day, I feel mischievous and ready to leave my mark.""","[':smiling_face_with_horns:', ':footprints:']"
"""Today feels like a dark day with the absence of light.""",[':new_moon:']
"The night was pitch black, creating a sense of a dark day.","[':new_moon:', ':night_with_stars:']"
"""Enjoying a refreshing drink while wearing my dark sunglasses.""","[':sunglasses:', ':glass_of_milk:']"
The dark glass is filled with black liquid.,"[':black_circle:', ':glass_of_milk:']"
The dark glasses are stylish and perfect for sunny days.,"[':sunglasses:', ':sunglasses:']"
"""These dark glasses are perfect for protecting your eyes from bright sunlight.""",[':sunglasses:']
"""Enjoying a glass of dark wine under the new moon.""","[':new_moon:', ':wine_glass:']"
"""The dark glass reflected a sinister aura, as if something wicked lurked behind it.""",[':angry_face_with_horns:']
The city skyline sparkles at night like dark glass reflecting the stars.,[':night_with_stars:']
"""These dark glasses protect my eyes from the bright sun.""",[':sunglasses:']
"""Behind the cool facade of the sunglasses lies a deep and turbulent undercurrent.""","[':sunglasses:', ':water_wave:']"
The dark undercurrent of the ocean hides many secrets beneath its surface.,"[':black_circle:', ':water_wave:']"
The stormy weather brings a dark undercurrent of uncertainty and tension.,"[':black_circle:', '', ':cloud_with_lightning_and_rain:']"
The dark waters concealed hidden currents beneath the surface.,"[':new_moon:', ':water_wave:', ':sweat_droplets:']"
"In the depths of the dark waters, hidden dangers lurk beneath the surface.","[':new_moon:', ':no_one_under_eighteen:', ':water_wave:']"
"The presence of a dark undercurrent instills fear and dread, leaving everyone feeling uneasy and terrified.","[':angry_face_with_horns:', ':face_screaming_in_fear:', ':fearful_face:']"
The dark undercurrent of evil intentions lurks beneath the surface.,"[':spade_suit:', ':angry_face_with_horns:']"
"""With a sinister agenda, the dark undercurrent of ambition drives the unexpected rise to power.""","[':smiling_face_with_horns:', ':chart_increasing:']"
"""While hiding in a dark corner, I put on my sunglasses and cast my vote.""","[':sunglasses:', ':ballot_box_with_ballot:']"
"In the dark corner of the room, a shadowy brick wall loomed ominously.","[':black_circle:', ':brick:']"
"""There's no light in the dark corner.""","[':flashlight:', ':prohibited:', ':prohibited:']"
The dark corner is devoid of light.,"[':new_moon:', ':cross_mark:', ':light_bulb:']"
"In the dark corner of the school, secrets are whispered quietly.","[':new_moon:', ':school:', ':shushing_face:', ':Japanese_secret_button:']"
"In the dark corner of the room, I felt a sense of dread as if a monster was lurking nearby.","[':fearful_face:', ':ogre:']"
"In the dark corner of the room, a lone figure sits quietly, hidden from view.","[':new_moon:', ':boomerang:']"
"In the dark corner of the house, the sunglasses lay forgotten.","[':sunglasses:', ':house:']"
"""With a sinister grin, he donned his sunglasses, ready to embrace his dark purpose.""","[':sunglasses:', ':angry_face_with_horns:']"
"In the shadows, a sinister plan unfolds, driven by dark purpose.","[':black_circle:', ':smiling_face_with_horns:']"
"""With a mischievous grin, I embrace my dark purpose.""","[':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:']"
"In the depths of the night, a chilling fate awaits those who dare to pursue their dark purpose, leaving them feeling lost and lifeless.","[':new_moon:', ':face_with_crossed-out_eyes:', ':skull:']"
"""Are you unsure about my dark intentions?""","[':smiling_face_with_horns:', ':red_question_mark:', ':woman_shrugging:']"
"With a mischievous grin, they plotted their dark purpose, reveling in the chaos they intended to unleash.","[':angry_face_with_horns:', ':ogre:', ':goblin:', ':smirking_face:']"
"""Embracing a dark purpose, the mischievous spirit revels in chaos and mischief.""","[':angry_face_with_horns:', ':smiling_face_with_horns:']"
"In the shadows, a sinister plot unfolds as dark forces conspire for their wicked purpose.","[':new_moon:', ':smiling_face_with_horns:', ':ogre:']"
"""Go to the right bank of the river to enjoy the beautiful landscape.""","[':backhand_index_pointing_right:', ':national_park:']"
"""Go to the bank on the right.""","[':backhand_index_pointing_right:', ':bank:']"
"""Go to the right bank to deposit your money.""","[':right_arrow:', ':bank:', ':money_bag:']"
"The checkmark indicates approval, and the bank represents a financial institution, so the sentence could be: ""The right bank has been approved.""","[':check_mark_button:', ':bank:']"
"""Everything is in order with the right bank.""","[':check_mark:', ':bank:']"
"""Please go to the right bank.""","[':backhand_index_pointing_right:', ':bank:']"
"""Giving a thumbs up to the right bank for helping me manage my money!""","[':thumbs_up:', ':bank:', ':money_bag:', ':money_bag:', ':money_bag:']"
"""Choosing the right bank can lead to financial growth and smart investments.""","[':thumbs_up:', ':bank:', ':money_with_wings:', ':chart_increasing_with_yen:']"
"""Raise your right hand and point forward.""","[':raised_hand:', ':backhand_index_pointing_right:']"
"""Here is my right hand.""","[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']"
"""Raise your right hand.""","[':right_arrow:', ':hand_with_fingers_splayed:']"
"""Here is my right hand.""","[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']"
"""Here is my right hand.""","[':backhand_index_pointing_right:', ':raised_back_of_hand:']"
The right hand is waving goodbye.,"[':backhand_index_pointing_right:', ':waving_hand:']"
The right hand gives a thumbs up.,"[':backhand_index_pointing_right:', ':check_mark:']"
"""Here is my right hand, open and ready to help.""","[':palms_up_together:', ':raised_back_of_hand:']"
"""Please look to the right side.""",[':backhand_index_pointing_right:']
"""Move to the right side.""","[':backhand_index_pointing_right:', ':backhand_index_pointing_right:']"
"""She is pointing to the right side.""","[':right_arrow:', ':woman_tipping_hand:']"
"""Stand to the right.""","[':backhand_index_pointing_right:', ':person_standing:']"
"""Please move to the right side.""",[':backhand_index_pointing_right:']
"""Please turn to the right side.""",[':backhand_index_pointing_right:']
"""Face this way to the right.""","[':bust_in_silhouette:', ':backhand_index_pointing_right:']"
"""Move to the right side to join the group.""","[':right_arrow:', ':people_holding_hands:', ':backhand_index_pointing_left:']"
You made the right decision!,[':check_mark:']
"""Making the right decision brings clarity and confidence.""","[':check_mark:', ':light_bulb:', ':woman:', ':thumbs_up:']"
"""Making the right decision by joining forces.""","[':right_arrow:', ':handshake:']"
Making the right decision involves using your brain effectively.,"[':check_mark_button:', ':brain:']"
You've made the right decision!,[':thumbs_up:']
You made the right decision!,[':check_mark_button:']
"After careful consideration and brainstorming, I realized I was making the right decision that would lead to positive growth.","[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':chart_increasing:']"
"""After careful consideration, I made the right decision.""","[':thinking_face:', ':check_mark_button:']"
The answer is correct!,[':check_mark:']
"""Marking the document with a check indicates the correct answer.""","[':check_mark:', ':page_facing_up:', ':writing_hand:']"
"""Write down the correct answer.""","[':right_arrow:', ':writing_hand:', ':check_mark_button:']"
You got the right answer!,"[':check_mark_button:', ':memo:']"
You got it right!,[':hundred_points:']
The answer is correct!,[':check_mark_button:']
"The right answer comes from thoughtful questioning, taking notes, and having a bright idea before confirming it with a checkmark.","[':thinking_face:', ':red_question_mark:', ':memo:', ':light_bulb:', ':pencil:', ':check_mark:']"
The woman raised her hand to indicate that she has the correct answer.,"[':woman_raising_hand:', ':thumbs_up:', ':check_mark_button:']"
"""The right man has been chosen.""","[':check_mark:', ':man:']"
"""The right man is someone who truly loves you.""","[':check_mark:', ':man:', ':two_hearts:']"
The right man is here.,"[':right_arrow:', ':man:', ':OK_hand:']"
The right man for the job is someone who is confident and ready to take on any challenge.,"[':thumbs_up:', ':person_in_suit_levitating:']"
The right man gives a thumbs up.,"[':thumbs_up:', ':man:']"
The man with light brown hair is pointing to the right.,"[':backhand_index_pointing_right:', ':man_light_skin_tone_blond_hair:']"
The woman is in love with the right man.,"[':woman:', ':smiling_face_with_heart-eyes:', ':man:', ':check_mark:']"
The right man brings love and happiness to a family.,"[':kiss_woman_man:', ':family_man_woman_boy_boy:']"
Take the right road.,"[':backhand_index_pointing_right:', ':motorway:']"
"""Take the right road ahead.""","[':backhand_index_pointing_right:', ':motorway:']"
"""Take the right road ahead.""","[':right_arrow:', ':motorway:']"
You are on the right road.,"[':check_mark_button:', ':motorway:']"
You are on the right path.,"[':check_mark:', ':motorway:']"
"""Take the right road.""","[':backhand_index_pointing_right:', ':motorway:']"
"""You're on the right road!""","[':automobile:', ':motorway:', ':check_mark:']"
"""Take the right road ahead.""","[':motorway:', ':up-right_arrow:']"
"""Doing the right thing always brings a sense of accomplishment.""",[':check_mark:']
"""That's the right thing to do!""","[':check_mark:', ':thumbs_up:']"
"""Doing the right thing always leads to success.""","[':right_arrow:', ':hundred_points:']"
You did the right thing!,"[':thumbs_up:', ':check_mark_button:']"
"""Doing the right thing earns a thumbs up!""",[':thumbs_up:']
"""Doing the right thing is always a perfect score!""",[':hundred_points:']
Speaking up is the right thing to do.,"[':speaking_head:', ':check_mark:']"
"""Doing the right thing always brings a smile and a thumbs up!""","[':grinning_face:', ':thumbs_up:']"
"""Time to relax on a short holiday at the beach in my swim trunks!""","[':shorts:', ':beach_with_umbrella:']"
"""Taking a short holiday to a beautiful temple.""","[':smiling_face_with_tear:', ':pinching_hand:', ':airplane:', ':shinto_shrine:']"
"""Time to pack my suitcase for a short holiday at the beach!""","[':hourglass_not_done:', ':beach_with_umbrella:', ':airplane:', ':luggage:']"
"""Time for a short holiday at the beach!""","[':hourglass_done:', ':beach_with_umbrella:']"
"""Enjoy a relaxing short holiday on the island, sipping champagne and indulging in spa treatments while meditating.""","[':left-right_arrow:', ':desert_island:', ':bottle_with_popping_cork:', ':person_getting_massage:', ':person_in_steamy_room:', ':person_in_lotus_position:']"
"""Just a quick getaway to the beach!""","[':pinching_hand:', ':beach_with_umbrella:']"
"""Pack lightly for a quick getaway!""","[':pinching_hand:', ':luggage:', ':baggage_claim:']"
"""I'm excited to take a short holiday and enjoy some time away!""","[':airplane_departure:', ':airplane_arrival:']"
"""With just a pair of shorts and a small serving of rice, I’m making do with a short ration.""","[':shorts:', ':cooked_rice:']"
"""Just a small portion of sweet potato, bread, and an egg for my meal.""","[':pinching_hand:', ':roasted_sweet_potato:', ':bread:', ':egg:']"
"""Just a tiny portion of potatoes, sweet potatoes, and rice for my short ration.""","[':pinching_hand:', ':potato:', ':roasted_sweet_potato:', ':cooked_rice:']"
"""There's not enough food to go around.""","[':cross_mark_button:', ':shallow_pan_of_food:']"
"""Here's a small portion of rice and noodles.""","[':fast_down_button:', ':cooked_rice:', ':steaming_bowl:']"
"""Just a tiny piece of bread for our short ration.""","[':pinching_hand:', ':bread:']"
"""Just a small amount of grain left.""","[':pinching_hand:', ':sheaf_of_rice:']"
"""Just a little bit of potato left in the pantry.""","[':pinching_hand:', ':potato:']"
A woman with short red hair is wearing swim trunks.,"[':shorts:', ':woman_light_skin_tone_red_hair:']"
The woman got a haircut and now has short red hair.,"[':woman_getting_haircut:', ':right_arrow:', ':woman_red_hair:']"
